dateff,mktrf,smb,hml,rf,umd
19570628,-0.007400,0.005500,0.000100,0.00240,0.007700
19570731,0.006600,-0.007600,0.003800,0.00300,-0.000700
19570830,-0.051100,0.000600,-0.004500,0.00250,0.004900
19570930,-0.059800,0.000800,0.008800,0.00260,0.006200
19571031,-0.043200,-0.025200,-0.018300,0.00290,0.019400
19571129,0.023000,0.004000,-0.029000,0.00280,0.012400
19571231,-0.039100,-0.009300,-0.017100,0.00240,0.077900
19580131,0.046600,0.043600,0.042300,0.00280,-0.076300
19580228,-0.015200,0.007000,0.002800,0.00120,0.037500
19580331,0.032700,0.006300,-0.009200,0.00090,-0.018500
19580430,0.030900,-0.005900,0.014600,0.00080,0.018500
19580529,0.023100,0.022400,-0.003500,0.00110,-0.018200
19580630,0.029300,-0.002400,0.005000,0.00030,-0.008700
19580731,0.043900,0.004700,0.031200,0.00070,-0.036200
19580829,0.019100,0.011900,0.002900,0.00040,0.002800
19580930,0.046600,0.001500,0.029600,0.00190,-0.011300
19581031,0.025300,0.011300,-0.011800,0.00180,0.031200
19581128,0.030100,0.020600,-0.012900,0.00110,0.015700
19581231,0.051500,-0.020700,-0.000500,0.00220,-0.006500
19590130,0.007100,0.030200,0.029800,0.00210,-0.002400
19590227,0.009500,0.014900,0.010500,0.00190,0.034000
19590331,0.002800,0.014800,-0.003500,0.00220,0.001300
19590430,0.036600,-0.005800,-0.012200,0.00200,0.031500
19590529,0.017300,-0.021500,0.018700,0.00220,0.015000
19590630,-0.002500,0.006800,0.013300,0.00250,0.029100
19590731,0.031700,-0.003200,0.002600,0.00250,-0.003200
19590831,-0.013900,-0.007800,0.004400,0.00190,-0.009500
19590930,-0.048000,-0.000900,0.005700,0.00310,0.008500
19591030,0.012800,0.014300,-0.020500,0.00300,0.034800
19591130,0.016000,0.012400,-0.032700,0.00260,0.022600
19591231,0.024500,-0.006000,-0.000300,0.00340,0.009900
19600129,-0.069800,0.020900,0.027300,0.00330,-0.034900
19600229,0.011700,0.005100,-0.019900,0.00290,0.038600
19600331,-0.016300,-0.005100,-0.028500,0.00350,0.014300
19600429,-0.017100,0.003100,-0.022300,0.00190,0.028100
19600531,0.031200,0.012100,-0.037600,0.00270,0.048100
19600630,0.020800,-0.002200,-0.003400,0.00240,0.008600
19600729,-0.023700,-0.005200,0.020300,0.00130,-0.007800
19600831,0.030100,0.009000,-0.001900,0.00170,0.019200
19600930,-0.059900,-0.011100,0.015800,0.00160,0.003100
19601031,-0.007100,-0.039500,0.026000,0.00220,0.012500
19601130,0.046900,0.003500,-0.024500,0.00130,0.036400
19601230,0.047100,-0.015600,-0.007900,0.00160,0.013900
19610131,0.062000,0.006600,0.037000,0.00190,-0.039800
19610228,0.035700,0.039800,-0.007400,0.00140,0.009800
19610330,0.028900,0.032700,-0.007700,0.00200,0.045100
19610428,0.002900,0.001000,0.020500,0.00170,0.035200
19610531,0.024000,0.019500,0.004800,0.00180,-0.015700
19610630,-0.030800,-0.024700,-0.001800,0.00200,0.003700
19610731,0.028300,-0.018800,-0.001100,0.00180,0.002500
19610831,0.025700,-0.017500,-0.002800,0.00140,0.016500
19610929,-0.021500,-0.010500,-0.005800,0.00170,0.008300
19611031,0.025700,-0.016100,0.001200,0.00190,0.031300
19611130,0.044500,0.012400,-0.011900,0.00150,0.013400
19611229,-0.001800,-0.008300,0.018300,0.00190,-0.022400
19620131,-0.038700,0.017800,0.050900,0.00240,-0.020700
19620228,0.018100,-0.011600,0.008500,0.00200,-0.010200
19620330,-0.006800,0.005300,-0.014300,0.00200,0.018300
19620430,-0.065900,-0.006800,0.000300,0.00220,0.028900
19620531,-0.086500,-0.033300,0.027800,0.00240,0.003800
19620629,-0.084700,-0.005700,0.025400,0.00200,0.064500
19620731,0.062800,0.014900,-0.034400,0.00270,0.005500
19620831,0.021300,0.012300,-0.011900,0.00230,-0.005800
19620928,-0.052200,-0.024300,0.012300,0.00210,0.039500
19621031,-0.000500,-0.039700,0.012900,0.00250,0.007500
19621130,0.108700,0.026100,0.010100,0.00200,-0.071700
19621231,0.010100,-0.038000,0.003300,0.00230,0.058800
19630131,0.049300,0.030600,0.022600,0.00250,-0.021000
19630228,-0.023800,0.005000,0.022100,0.00230,0.025200
19630329,0.030800,-0.026200,0.021000,0.00230,0.015600
19630430,0.045100,-0.013100,0.010100,0.00250,-0.000800
19630531,0.017600,0.011200,0.025000,0.00240,0.003700
19630628,-0.020000,-0.002500,0.007000,0.00230,0.011700
