MarkettypeID,date,Portfolios,RM,SMB,HML,RMW,CMA
P9713,2001/2/26,1,0.011945,-0.00412,0.002243,0.005721,-0.001876
P9714,2001/2/26,3,0.011945,-0.004775,0.000294,0.003558,0.000095
P9713,2001/2/26,2,0.011945,-0.004,0.001169,0.002506,-0.000759
P9714,2001/2/26,1,0.011945,-0.00412,0.002243,0.005721,-0.001876
P9714,2001/2/26,2,0.011945,-0.004,0.001169,0.002506,-0.000759
P9709,2001/2/27,1,0.004945,0.005274,0.001139,-0.004758,0.001839
P9709,2001/2/27,2,0.004945,0.005276,0.000901,-0.003693,0.000689
P9709,2001/2/27,3,0.004945,0.004776,0.000069,-0.003475,-0.000189
P9713,2001/2/27,2,0.004945,0.005276,0.000901,-0.003693,0.000689
P9713,2001/2/27,3,0.004945,0.004776,0.000069,-0.003475,-0.000189
P9713,2001/2/27,1,0.004945,0.005274,0.001139,-0.004758,0.001839
P9714,2001/2/27,3,0.004945,0.004776,0.000069,-0.003475,-0.000189
P9714,2001/2/27,1,0.004945,0.005274,0.001139,-0.004758,0.001839
P9714,2001/2/27,2,0.004945,0.005276,0.000901,-0.003693,0.000689
P9709,2001/2/28,1,-0.001055,0.00328,-0.004936,0.000732,0.002295
P9709,2001/2/28,2,-0.001055,0.003179,-0.002126,0.00091,0.000902
P9709,2001/2/28,3,-0.001055,0.003052,-0.002648,0.0011,0.001411
P9713,2001/2/28,1,0.006945,0.002841,0.011923,-0.004573,0.006018
P9713,2001/2/28,2,0.006945,0.002882,0.009697,-0.002776,0.002823
P9713,2001/2/28,3,0.006945,0.003356,0.010255,-0.001777,0.001362
P9714,2001/2/28,2,-0.001055,0.003179,-0.002126,0.00091,0.000902
P9714,2001/2/28,3,-0.001055,0.003052,-0.002648,0.0011,0.001411
P9714,2001/2/28,1,-0.001055,0.00328,-0.004936,0.000732,0.002295
P9709,2001/3/1,1,0.003945,0.001308,0.002637,0.004264,-0.001206
P9709,2001/3/1,2,0.003945,0.00116,0.001835,0.002983,-0.000025
P9709,2001/3/1,3,0.003945,0.00116,0.001158,0.003223,0.000769
P9713,2001/3/1,3,0.011945,0.001326,0.012825,0.000408,0.000691
P9713,2001/3/1,2,0.011945,0.000922,0.012531,-0.000636,0.00171
P9714,2001/3/1,2,0.003945,0.00116,0.001835,0.002983,-0.000025
P9713,2001/3/1,1,0.011945,0.000935,0.017764,-0.001068,0.002418
P9714,2001/3/1,1,0.003945,0.001308,0.002637,0.004264,-0.001206
P9714,2001/3/1,3,0.003945,0.00116,0.001158,0.003223,0.000769
P9709,2001/3/2,1,0.008945,0.001641,-0.003071,-0.003034,-0.000621
