This file was created by CMPT_ME_BEME_OP_INV_RETS using the 202108 CRSP database.
The 1-month TBill return is from Ibbotson and Associates Inc.

,Mkt-RF,SMB,HML,RMW,CMA,RF
198904,    4.33,   -0.78,   -1.40,    0.71,   -0.57,    0.67
198905,    3.35,    0.00,   -0.87,    0.49,   -0.08,    0.79
198906,   -1.35,   -1.09,    2.23,    0.27,    1.55,    0.71
198907,    7.20,   -4.17,   -2.79,    1.95,   -0.56,    0.70
198908,    1.44,    0.48,    0.60,    0.39,   -0.57,    0.74
198909,   -0.76,    0.49,   -1.27,    1.40,    0.51,    0.65
198910,   -3.67,   -3.32,   -1.11,    0.10,   -0.03,    0.68
198911,    1.03,   -1.29,   -1.09,   -0.86,    1.37,    0.69
198912,    1.16,   -2.28,    0.16,   -0.07,    1.45,    0.61
199001,   -7.85,   -1.32,    0.85,   -1.18,    1.37,    0.57
199002,    1.11,    1.15,    0.64,   -0.07,   -0.61,    0.57
199003,    1.83,    1.58,   -2.92,    2.02,   -0.95,    0.64
199004,   -3.36,   -0.32,   -2.59,    1.81,   -1.00,    0.69
199005,    8.42,   -2.37,   -3.83,    1.54,   -1.58,    0.68
199006,   -1.09,    1.31,   -1.93,   -1.10,   -0.36,    0.63
199007,   -1.90,   -3.13,   -0.04,   -0.11,    3.23,    0.68
199008,  -10.15,   -3.86,    1.60,   -0.35,    2.99,    0.66
199009,   -6.12,   -3.74,    0.61,    0.06,    3.61,    0.60
199010,   -1.92,   -5.07,    0.00,    3.13,   -0.32,    0.68
199011,    6.35,    0.04,   -2.97,    0.51,   -4.69,    0.57
199012,    2.46,    0.64,   -1.63,    2.65,   -1.81,    0.60
199101,    4.69,    3.89,   -1.57,    1.26,   -3.85,    0.52
199102,    7.19,    4.02,   -0.63,   -0.05,   -0.43,    0.48
199103,    2.65,    3.82,   -1.30,   -0.50,   -1.11,    0.44
199104,   -0.28,    0.32,    1.45,    0.64,    0.80,    0.53
199105,    3.65,    0.12,   -0.49,    2.05,   -2.35,    0.47
199106,   -4.94,    0.26,    1.07,    1.77,    0.64,    0.42
199107,    4.24,   -0.95,   -1.32,    1.61,   -1.38,    0.49
199108,    2.32,    1.41,   -0.78,    0.85,   -0.34,    0.46
199109,   -1.59,    1.56,   -1.07,   -1.80,    0.08,    0.46
199110,    1.29,    0.90,   -0.46,   -1.73,   -0.23,    0.42
199111,   -4.19,   -0.84,   -1.88,    1.06,    0.01,    0.39
199112,   10.84,   -2.40,   -4.18,    3.56,   -3.12,    0.38
199201,   -0.59,    9.19,    4.70,   -1.29,    3.20,    0.34
199202,    1.09,    1.34,    6.47,    0.10,    2.19,    0.28
199203,   -2.66,   -0.93,    3.55,   -0.01,    1.95,    0.34
199204,    1.07,   -5.70,    4.32,    1.69,    2.23,    0.32
199205,    0.30,    0.21,    1.19,   -0.96,    0.48,    0.28
199206,   -2.34,   -2.74,    3.25,   -0.09,    1.01,    0.32
199207,    3.77,   -0.66,   -0.55,    1.24,   -0.89,    0.31
199208,   -2.38,   -0.44,   -1.08,    3.68,   -1.60,    0.26
199209,    1.19,    0.44,   -0.23,    1.58,   -0.63,    0.26
199210,    1.02,    2.09,   -1.98,    1.26,   -0.84,    0.23
199211,    4.13,    3.98,   -1.42,   -0.62,   -1.65,    0.23
199212,    1.53,    1.67,    2.65,   -0.46,    0.83,    0.28
199301,    0.93,    1.89,    5.95,   -1.85,    2.94,    0.23
199302,    0.12,   -3.47,    6.44,   -0.48,    4.21,    0.22
199303,    2.30,    0.08,    1.19,   -0.17,    0.90,    0.25
199304,   -3.05,   -0.86,    2.48,   -3.60,    1.44,    0.24
199305,    2.89,    1.93,   -3.50,   -0.08,   -1.05,    0.22
199306,    0.31,    0.16,    2.72,   -0.91,    1.20,    0.25
199307,   -0.34,    0.92,    2.82,   -1.85,    2.05,    0.24
199308,    3.71,    0.11,    0.14,   -1.54,   -0.03,    0.25
199309,   -0.12,    2.94,   -0.35,    0.25,   -0.16,    0.26
199310,    1.41,    1.89,   -2.78,    0.58,    0.60,    0.22
199311,   -1.89,   -1.18,   -0.66,    2.19,   -0.94,    0.25
199312,    1.65,    1.38,    0.27,    1.17,   -0.34,    0.23
199401,    2.87,    0.08,    1.28,   -1.75,    1.43,    0.25
199402,   -2.55,    2.67,   -1.56,    2.15,   -1.00,    0.21
199403,   -4.78,   -1.09,    1.55,    0.71,    1.28,    0.27
199404,    0.68,   -1.00,    1.66,    1.06,    1.11,    0.27
199405,    0.58,   -2.53,    0.70,    0.60,    0.68,    0.31
199406,   -3.03,   -0.48,    1.67,    1.21,    1.47,    0.31
199407,    2.82,   -1.79,    0.57,   -0.60,    0.11,    0.28
199408,    4.01,    1.38,   -2.50,    0.96,   -1.47,    0.37
199409,   -2.31,    2.76,   -1.84,    0.53,    0.90,    0.37
199410,    1.34,   -2.31,   -1.63,    0.24,   -0.69,    0.38
199411,   -4.04,    0.13,   -0.73,    0.40,   -0.39,    0.37
199412,    0.86,   -0.04,   -0.09,    0.39,    0.30,    0.44
199501,    1.80,   -3.02,    2.51,    0.20,   -0.76,    0.42
199502,    3.63,   -0.54,    1.09,    0.56,   -0.28,    0.40
199503,    2.19,   -0.53,   -2.08,   -0.13,    0.24,    0.46
